Price,Close,High,Low,Open,Volume
Ticker,TM,TM,TM,TM,TM
Date,,,,,
2015-05-13,130.26466369628906,131.52326650928507,130.16932425677408,130.96071580452593,359700
2015-05-14,131.5327911376953,131.57093855124623,130.58885361245376,131.32302401009156,150400
2015-05-15,132.88673400878906,132.90580771566061,132.20022605116785,132.20022605116785,177700
2015-05-18,132.94393920898438,133.00116032900877,132.6769655114386,132.90580634461014,141300
2015-05-19,133.03929138183594,133.71626974430728,132.80092097306047,133.34441248857658,223700
2015-05-20,132.54347229003906,133.153699933515,132.31464601684473,132.724636122301,121000
2015-05-21,132.9534912109375,133.05837478039757,132.32418979417713,132.32418979417713,141900
2015-05-22,131.79025268554688,132.20978699623316,131.4946756618299,131.561411820906,202800
2015-05-26,131.29443359375,132.0286186123272,130.7604861435036,132.0286186123272,293200
2015-05-27,132.3146514892578,132.5339481931305,131.87604353253718,132.2669744973789,247000
2015-05-28,133.2395477294922,133.44931488273488,132.36234624728507,132.3909495364566,220000
2015-05-29,131.4755859375,132.28605117069193,131.11325824986469,132.28605117069193,310600
2015-06-01,130.8558349609375,131.56140211414564,130.44583026066204,131.38978239006028,280100
2015-06-02,130.2169952392578,130.77000179025148,130.1216412551691,130.3790853730284,275900
2015-06-03,131.04653930664062,131.46607362131255,130.6270049919687,131.1132754663507,240300
2015-06-04,130.48397827148438,131.1323388529541,130.2742111306615,130.5602440054415,231000
2015-06-05,129.20628356933594,129.66396520264735,128.9679131745183,129.66396520264735,167200
2015-06-08,126.9560775756836,127.67118882274671,126.45073345834369,127.36608225613374,304900
2015-06-09,126.1456298828125,126.56516415220668,125.78330218670374,126.33632331008916,236300
2015-06-10,127.99539184570312,128.32910171966068,127.50910685520057,127.61399042678185,166200
2015-06-11,128.8916473388672,129.20629804114603,128.62467363068683,128.94886846117092,152600
2015-06-12,129.18722534179688,129.54953845122205,128.80582397796198,129.14907793092618,191400
2015-06-15,129.20628356933594,129.5114046582102,128.88210332413774,128.91070660759792,292700
2015-06-16,129.730712890625,129.83559645563585,129.20629506557077,129.38745890958728,179200
2015-06-17,128.5960693359375,128.80583646914565,127.5281745115875,128.0621219237625,344900
2015-06-18,128.22422790527344,128.57702606324378,127.28981981852162,127.28981981852162,246300
2015-06-19,127.78562927246094,128.35770959783707,127.70934898594872,128.22422273368494,179800
2015-06-22,129.1776885986328,130.00722751928274,128.87258203909883,128.87258203909883,263100
2015-06-23,130.72235107421875,130.86536751420647,130.42675951661644,130.5793200852544,270500
2015-06-24,129.10140991210938,129.6830343020177,129.03467376191026,129.6830343020177,149000
2015-06-25,128.5960693359375,129.2062970282769,128.57701017762827,129.0537510169239,180800
2015-06-26,129.15863037109375,129.5590909171642,128.8630388392313,129.04420268009125,138900
2015-06-29,126.28864288330078,127.89049963663065,126.24096589053359,127.86189635076543,191100
2015-06-30,127.5281753540039,128.22421291026018,127.33748192682114,127.97631290982017,216300
2015-07-01,127.38516235351562,127.61398865271079,126.94655436509775,127.4995755031132,157100
2015-07-02,126.57469940185547,126.74631912940008,126.26957826536297,126.54609611393137,276800
2015-07-06,126.55562591552734,126.9084240488376,125.98354560706545,126.09795875896252,132000
2015-07-07,126.22190856933594,126.37445457984505,124.6677287861575,126.10748087523443,288600
2015-07-08,122.15054321289062,124.08610993236016,121.98845306705553,124.05750664479963,717300
2015-07-09,123.02774047851562,124.45796300400312,122.93238649055944,124.10517943672183,186900
2015-07-10,125.40190887451172,125.7356187178173,123.87633243690706,124.48656010215389,401900
2015-07-13,127.23260498046875,127.40422470917123,126.83214439785296,126.83214439785296,214900
2015-07-14,127.24213409423828,127.48050452699219,126.74631952039671,126.93702750578113,195300
2015-07-15,127.75702667236328,128.35771028979758,127.56631868056613,127.83330695928672,294100
2015-07-16,129.45420837402344,130.04536234445567,129.34932481001363,129.9023459157948,441200
2015-07-17,129.0632781982422,129.18723546982835,128.43397681030936,128.43397681030936,186100
2015-07-20,129.23489379882812,129.77838531173128,129.1109510801639,129.47326420645757,353700
2015-07-21,128.30050659179688,128.74864419442068,127.90957556840549,128.63423103595585,200500
2015-07-22,127.75702667236328,128.17654642697653,127.57586280954224,127.57586280954224,196400
2015-07-23,127.05142974853516,127.69026070758508,126.88933961405759,127.47096400199489,196100
2015-07-24,126.38399505615234,127.66165696972546,126.16469835133913,127.4042128516554,130200
2015-07-27,125.65933990478516,125.73562018245146,125.10633335241131,125.38283662859823,187700
2015-07-28,125.70701599121094,125.78329626832763,124.30539681576411,124.98237518206523,383500
2015-07-29,126.40306854248047,126.66049811112656,125.4781901837808,125.58307374659134,212500
2015-07-30,126.11702728271484,126.26957329598103,125.14447188464092,125.85958315255316,270100
2015-07-31,127.25167846679688,127.49004890000766,126.86074746457679,127.29934091425771,226200
2015-08-03,126.98468017578125,127.18491772542666,125.8595788033204,126.27911306050089,315100
2015-08-04,123.80960845947266,125.27796392211563,122.40798915246152,125.25889021380227,515200
2015-08-05,122.34123992919922,122.980070950154,122.20775306734265,122.67496435832904,476500
2015-08-06,122.81798553466797,123.42821329081929,122.6654249583858,122.961016530799,278800
2015-08-07,123.90494537353516,123.9526223688569,123.49495522151602,123.8191355113418,163900
2015-08-10,124.99191284179688,125.31609312877023,124.01937198087677,124.42936212928846,300900
2015-08-11,123.0086669921875,123.61889468886643,122.70356041833598,123.61889468886643,236100
2015-08-12,121.49263763427734,121.75008176946176,120.16729864051504,121.36868763090331,768000
2015-08-13,121.84542846679688,122.1886751895099,120.95869018644191,121.23520075499218,188700
2015-08-14,122.22682189941406,122.27449889438428,121.64519747832044,121.84542776311672,130600
2015-08-17,121.92170715332031,122.03612030123084,121.18752217328365,121.5689163067908,155700
2015-08-18,121.92170715332031,122.1124078573179,121.51170973283554,121.67379987536746,185400
2015-08-19,120.17683410644531,121.10171251755875,119.82404325931799,120.51055124589655,286500
2015-08-20,116.80150604248047,118.74660954665706,116.75382904858633,118.74660954665706,536700
2015-08-21,113.51200103759766,116.76336990178363,113.37851417950722,116.42011590255446,504600
2015-08-24,108.2392349243164,110.65154963651122,103.99624444390138,105.10228666209231,1009000
2015-08-25,108.09622192382812,112.23432897087388,108.09622192382812,112.23432897087388,576800
2015-08-26,112.35828399658203,112.46316756923795,109.70760594107064,111.3666693951797,395600
2015-08-27,114.0078125,114.30338951451716,112.81596031309088,113.14967747052775,399600
2015-08-28,115.15198516845703,115.95291360325812,114.73245815450244,115.39035560061988,285800
2015-08-31,112.87316131591797,113.7122298697367,112.69200473910645,113.58827259274724,243000
