Price,Close,High,Low,Open,Volume
Ticker,GE,GE,GE,GE,GE
Date,,,,,
2015-03-03,107.43644714355469,108.35044656294636,107.10407950948455,108.22580787343425,6373020
2015-03-04,106.60553741455078,107.06253712182601,105.81617007496585,107.02098868757992,6581995
2015-03-05,107.27023315429688,107.27023315429688,106.27314372957521,106.43933081193278,5920536
2015-03-06,105.60847473144531,107.10410631041415,105.23456518323108,106.81328703803774,6737031
2015-03-09,106.52244567871094,106.77171643906222,105.8992588570033,106.0238975441221,6591865
2015-03-10,104.56980895996094,106.52244646517822,104.56980895996094,105.94080807284465,7812747
2015-03-11,104.65290069580078,105.89926113829266,104.44517175075666,105.02681015132563,7553171
2015-03-12,105.52536010742188,105.5669085453023,104.56981878892852,104.98527671218498,6128301
2015-03-13,104.02971649169922,105.35916713853243,103.07416867218926,105.02680613029567,9453853
2015-03-16,105.73308563232422,105.85772432802732,103.69736436175182,104.11281565761759,7221878
2015-03-17,105.15145111083984,105.48381213897537,104.23745166958061,105.10990267537962,7148555
2015-03-18,106.52244567871094,107.39489664688357,104.32053742755892,104.61135662157855,7992342
2015-03-19,105.23453521728516,106.39780536165699,104.94371602772065,105.69153491120476,7994846
2015-03-20,105.52536010742188,106.06545673043267,105.10990879805236,105.27608932180017,10565104
2015-03-23,105.81617736816406,106.9379058034855,105.73308710783138,105.85772580527383,6673953
2015-03-24,104.98526000976562,105.85771092758425,104.98526000976562,105.44225307042421,5383753
2015-03-25,103.48963165283203,105.23454025994593,103.48963165283203,104.81908236526397,7281764
2015-03-26,103.0326156616211,103.53116373370975,102.49252577495825,103.0326156616211,6782436
2015-03-27,103.28191375732422,103.53119116636229,102.65873346250348,103.53119116636229,5909436
2015-03-30,104.36209106445312,104.69445872977572,103.73891078606793,103.78045922444089,5692594
2015-03-31,103.07418823242188,104.2374652097762,103.07418823242188,104.2374652097762,7290841
2015-04-01,103.19879913330078,103.53116672893732,102.07707089906306,102.70025766067445,8085552
2015-04-02,103.61425018310547,103.8635209030805,102.61715407543495,103.07415370233177,6095667
2015-04-06,104.61137390136719,105.5669152808273,102.99109715672957,103.44809693313763,6978724
2015-04-07,103.9466323852539,105.0268123397728,103.86354212828219,104.56981261948506,4436490
