Price,Close,High,Low,Open,Volume
Ticker,GE,GE,GE,GE,GE
Date,,,,,
2011-02-28,75.56935119628906,76.11119557175942,75.2081235295286,75.67772237164688,8900002
2011-03-01,73.14909362792969,76.47241035496273,73.11296799472679,76.29179369026413,12935610
2011-03-02,73.4019775390625,74.55791772512244,72.82401319669262,72.89625873948886,10246352
2011-03-03,74.95526123046875,75.60547678080249,74.77464452189619,75.42486007222993,9643819
2011-03-04,73.58259582519531,75.35262603773026,72.93238017563878,75.31650039023926,12758518
2011-03-07,73.61872863769531,74.37730980223405,72.2821773116704,73.69097418904849,13850322
2011-03-08,74.52179718017578,75.09976731277374,73.18524592095466,73.79933595209346,10504383
2011-03-09,74.52179718017578,74.810785121805,73.32973701643903,74.34118618615057,10374637
2011-03-10,72.60724639892578,74.16053942330333,72.35438995950777,73.1852162975773,16852093
2011-03-11,73.54647064208984,73.97994387686411,72.0293028190603,72.06542271329492,11713685
2011-03-14,71.9570541381836,72.57114406929833,70.25926966612923,72.101545210133,19024641
2011-03-15,70.83721923828125,71.37906347687154,67.18879484769444,68.05574677957046,27860374
2011-03-16,68.4531021118164,70.47598809873753,67.58615015304191,70.00638936067877,27553558
2011-03-17,69.4284439086914,70.90948603883517,68.85047386372766,69.60905487533164,17433843
2011-03-18,69.53683471679688,71.34298529699157,69.42846924739545,70.94563182430903,16685894
2011-03-21,71.23460388183594,71.52358606976713,70.62051385715195,71.09011278787034,11060844
2011-03-22,70.40373992919922,71.41518863521533,70.33149441457776,71.41518863521533,9702182
2011-03-23,70.5482406616211,70.65661182378753,69.53679756714932,70.25925856338877,9240371
2011-03-24,71.45130157470703,71.52354708230882,70.36761321002274,71.09007403669803,9137876
2011-03-25,71.34295654296875,71.99317209996163,71.1262199408576,71.70418996381342,8361403
2011-03-28,71.34295654296875,71.8125611401987,71.01785451513172,71.55969889573932,7396299
2011-03-29,71.74032592773438,71.92094267862089,70.54826572307255,71.01787042550964,7519910
2011-03-30,72.64337921142578,73.25746905467626,71.99316373002704,72.17378041945085,9797082
2011-03-31,72.42666625976562,72.78789400578539,72.10155841301754,72.53503170824125,8542668
2011-04-01,73.4742202758789,74.0521903468362,72.67951933546995,72.75176487550712,10099245
